SAMPLE,SPECIES
C11,Combretum apiculatum
C17,Combretum apiculatum
C18,Combretum apiculatum
C23,Combretum apiculatum
C24,Combretum apiculatum
C26,Combretum apiculatum
C29,Combretum apiculatum
C32,Combretum apiculatum
C36,Combretum apiculatum
C39,Combretum apiculatum
C46,Combretum apiculatum
C50,Combretum apiculatum
C51,Combretum apiculatum
C55,Combretum apiculatum
C57,Combretum apiculatum
C58,Combretum apiculatum
C67,Combretum apiculatum
C69,Combretum apiculatum
C70,Combretum apiculatum
C76,Combretum apiculatum
C77,Combretum apiculatum
C79,Combretum apiculatum
M10,Colophospermum mopane
M11,Colophospermum mopane
M13,Colophospermum mopane
M21,Colophospermum mopane
M24,Colophospermum mopane
M26,Colophospermum mopane
M29,Colophospermum mopane
M33,Colophospermum mopane
M39,Colophospermum mopane
M40,Colophospermum mopane
M43,Colophospermum mopane
T10,Terminalia sericea
T11,Terminalia sericea
T13,Terminalia sericea
T15,Terminalia sericea
T19,Terminalia sericea
T21,Terminalia sericea
T25,Terminalia sericea
T28,Terminalia sericea
T31,Terminalia sericea
T36,Terminalia sericea
T40,Terminalia sericea
T41,Terminalia sericea
T45,Terminalia sericea
T46,Terminalia sericea
T48,Terminalia sericea
T50,Terminalia sericea
T55,Terminalia sericea
T57,Terminalia sericea
T58,Terminalia sericea
