SAMPLE,YEAR,RINGW
M33,2011,220
M33,2010,387
M33,2009,348
M33,2008,512
M33,2007,669
M33,2006,166
M33,2005,362
M33,2004,728
T46,2011,362
T46,2010,327
T46,2009,750
T46,2008,320
T46,2007,427
T46,2006,274
T46,2005,474
T46,2004,485
M10,2011,196
M10,2010,156
M10,2009,258
M10,2008,246
M10,2007,596
M10,2006,667
M10,2005,110
M10,2004,340
M10,2003,304
M10,2002,61
M10,2001,112
M10,2000,142
M10,1999,428
M10,1998,192
M10,1997,193
M10,1996,187
M10,1995,111
M10,1994,66
M10,1993,88
M10,1992,128
C18,2011,233
C18,2010,273
C18,2009,236
C18,2008,379
C18,2007,266
C18,2006,230
C18,2005,143
C18,2004,267
C18,2003,234
C18,2002,211
C18,2001,127
C18,2000,196
C18,1999,417
C18,1998,515
C18,1997,239
C18,1996,437
C18,1995,317
C18,1994,221
M21,2011,234
M21,2010,188
M21,2009,197
M21,2008,121
M21,2007,188
M21,2006,74
M21,2005,71
M21,2004,141
M21,2003,205
M21,2002,309
M21,2001,223
M21,2000,197
M21,1999,88
M21,1998,82
M21,1997,34
M21,1996,436
C76,2011,422
C76,2010,149
C76,2009,159
C76,2008,120
C76,2007,275
C76,2006,428
C76,2005,145
C76,2004,427
C76,2003,228
C76,2002,60
C76,2001,289
C57,2011,147
C57,2010,194
C57,2009,383
C57,2008,328
C57,2007,294
C57,2006,578
C57,2005,177
C57,2004,201
C57,2003,195
C57,2002,92
C57,2001,95
C57,2000,73
C57,1999,251
C24,2011,195
C24,2010,196
C24,2009,128
C24,2008,104
C24,2007,196
C24,2006,264
C24,2005,121
C24,2004,415
C24,2003,242
C24,2002,115
C24,2001,123
C24,2000,565
C24,1999,156
C24,1998,128
C24,1997,78
C24,1996,104
C24,1995,164
C77,2011,315
C77,2010,183
C77,2009,365
C77,2008,223
C77,2007,118
C77,2006,151
C77,2005,356
C77,2004,89
C77,2003,235
C77,2002,308
M26,2011,176
M26,2010,236
M26,2009,161
M26,2008,105
M26,2007,77
M26,2006,325
M26,2005,200
M26,2004,458
M26,2003,241
M26,2002,99
M26,2001,62
M26,2000,132
M26,1999,104
M26,1998,661
T31,2011,376
T31,2010,432
T31,2009,745
T31,2008,692
T31,2007,312
T31,2006,176
T31,2005,820
T31,2004,188
T31,2003,202
T31,2002,262
T31,2001,276
T40,2011,968
T40,2010,846
T40,2009,222
T40,2008,877
T40,2007,230
T40,2006,233
T40,2005,668
T40,2004,208
T40,2003,297
T40,2002,131
C29,2011,365
C29,2010,219
C29,2009,355
C29,2008,218
C29,2007,309
C29,2006,422
C29,2005,354
C29,2004,275
C29,2003,145
C29,2002,304
M40,2011,261
M40,2010,332
M40,2009,318
M40,2008,427
M40,2007,190
M40,2006,182
M40,2005,179
M40,2004,95
M40,2003,117
M40,2002,123
M40,2001,93
M40,2000,109
M40,1999,51
M40,1998,229
C55,2011,623
C55,2010,665
C55,2009,302
C55,2008,260
C55,2007,265
C55,2006,487
C55,2005,331
C55,2004,270
C55,2003,110
C55,2002,147
C17,2011,104
C17,2010,75
C17,2009,124
C17,2008,251
C17,2007,201
C17,2006,560
C17,2005,357
C17,2004,195
C17,2003,364
C17,2002,147
C17,2001,290
C17,2000,215
C17,1999,115
C17,1998,162
C17,1997,147
C17,1996,63
C17,1995,133
T15,2011,373
T15,2010,318
T15,2009,223
T15,2008,244
T15,2007,175
T15,2006,565
T15,2005,558
T15,2004,341
T15,2003,380
T15,2002,189
T15,2001,179
T15,2000,197
M26,2011,319
M26,2010,176
M26,2009,360
M26,2008,345
M26,2007,107
M26,2006,145
M26,2005,184
M26,2004,166
M26,2003,157
M26,2002,109
M26,2001,104
M26,2000,88
M26,1999,72
M26,1998,96
M26,1997,48
M26,1996,108
M26,1995,72
M26,1994,52
M26,1993,76
T50,2011,330
T50,2010,335
T50,2009,518
T50,2008,392
T50,2007,107
T50,2006,129
T50,2005,135
T50,2004,124
M39,2011,219
M39,2010,414
M39,2009,228
M39,2008,211
M39,2007,197
M39,2006,155
M39,2005,128
M39,2004,159
M39,2003,59
M39,2002,66
M39,2001,112
M39,2000,87
M39,1999,114
C23,2011,132
C23,2010,395
C23,2009,463
C23,2008,235
C23,2007,500
C23,2006,123
C23,2005,181
C23,2004,76
C23,2003,140
T41,2011,247
T41,2010,293
T41,2009,439
T41,2008,392
T41,2007,172
T41,2006,265
T41,2005,248
T45,2011,583
T45,2010,380
T45,2009,472
T45,2008,392
T45,2007,68
T45,2006,185
T45,2005,107
T45,2004,189
C36,2011,206
C36,2010,179
C36,2009,170
C36,2008,194
C36,2007,240
C36,2006,126
C36,2005,114
C36,2004,172
C36,2003,750
C36,2002,140
C36,2001,214
C36,2000,264
C36,1999,272
C36,1998,648
C36,1997,168
C67,2011,228
C67,2010,135
C67,2009,381
C67,2008,304
C67,2007,262
C67,2006,138
C67,2005,88
C67,2004,67
C67,2003,152
C67,2002,160
C58,2011,207
C58,2010,135
C58,2009,407
C58,2008,296
C58,2007,344
C58,2006,163
C58,2005,173
C58,2004,268
C58,2003,225
C58,2002,338
C58,2001,161
C58,2000,200
T48,2011,132
T48,2010,556
T48,2009,819
T48,2008,136
T48,2007,128
T48,2006,399
T48,2005,442
T48,2004,283
T48,2003,260
C50,2011,307
C50,2010,235
C50,2009,129
C50,2008,365
C50,2007,215
C50,2006,241
C50,2005,503
C50,2004,779
C50,2003,191
C50,2002,210
C50,2001,316
C50,2000,341
C50,1999,142
C50,1998,481
C50,1997,172
C39,2011,233
C39,2010,265
C39,2009,467
C39,2008,280
C39,2007,366
C39,2006,603
C39,2005,115
C39,2004,131
C39,2003,577
C39,2002,102
C39,2001,120
C39,2000,145
T36,2011,287
T36,2010,436
T36,2009,155
T36,2008,516
T36,2007,509
T36,2006,312
T36,2005,104
T36,2004,120
T19,2011,349
T19,2010,200
T19,2009,291
T19,2008,309
T19,2007,269
T19,2006,182
T19,2005,21
T19,2004,310
T19,2003,289
T19,2002,215
T19,2001,106
T19,2000,78
T19,1999,152
T19,1998,106
T58,2011,161
T58,2010,161
T58,2009,104
T58,2008,271
T58,2007,266
T58,2006,138
T58,2005,346
T58,2004,216
T58,2003,301
T58,2002,142
T58,2001,127
T58,2000,467
T58,1999,261
