Sample,Year,RingWidth_um
C01,2013,328
C01,2012,438
C01,2011,504
C01,2010,195
C01,2009,611
C01,2008,187
C01,2007,334
C01,2006,107
C01,2005,165
C01,2004,426
C01,2003,248
C05,2013,323
C05,2012,317
C05,2011,573
C05,2010,431
C05,2009,209
C05,2008,152
C05,2007,287
C05,2006,163
C05,2005,157
C0600,2013,135
C0600,2012,476
C0600,2011,749
C0600,2010,123
C0600,2009,209
C0600,2008,484
C0600,2007,476
C0600,2006,305
C0600,2005,214
C0600,2004,288
C0600,2003,228
C11,2013,141
C11,2012,236
C11,2011,236
C11,2010,352
C11,2009,241
C11,2008,282
C11,2007,96
C11,2006,147
C11,2005,272
C11,2004,269
C11,2003,150
C11,2002,174
C11,2001,317
C11,2000,183
C11,1999,201
C11,1998,160
C11,1997,149
C11,1996,246
C11,1995,73
C11,1994,120
C11,1993,148
C17,2013,104
C17,2012,75
C17,2011,124
C17,2010,251
C17,2009,201
C17,2008,560
C17,2007,357
C17,2006,195
C17,2005,364
C17,2004,147
C17,2003,290
C17,2002,215
C17,2001,115
C17,2000,162
C17,1999,147
C17,1998,63
C17,1997,133
C18,2013,233
C18,2012,273
C18,2011,236
C18,2010,379
C18,2009,266
C18,2008,230
C18,2007,143
C18,2006,267
C18,2005,234
C18,2004,211
C18,2003,127
C18,2002,196
C18,2001,417
C18,2000,515
C18,1999,239
C18,1998,437
C18,1997,317
C18,1996,221
C23,2013,132
C23,2012,395
C23,2011,463
C23,2010,235
C23,2009,500
C23,2008,123
C23,2007,181
C23,2006,76
C23,2005,140
C24,2013,195
C24,2012,196
C24,2011,128
C24,2010,104
C24,2009,196
C24,2008,264
C24,2007,121
C24,2006,415
C24,2005,242
C24,2004,115
C24,2003,123
C24,2002,565
C24,2001,156
C24,2000,128
C24,1999,78
C24,1998,104
C24,1997,164
C26,2013,222
C26,2012,236
C26,2011,257
C26,2010,84
C26,2009,143
C26,2008,96
C26,2007,113
C26,2006,15
C26,2005,84
C26,2004,178
C26,2003,109
C26,2002,120
C26,2001,112
C26,2000,71
C26,1999,92
C29,2013,365
C29,2012,219
C29,2011,355
C29,2010,218
C29,2009,309
C29,2008,422
C29,2007,354
C29,2006,275
C29,2005,145
C29,2004,304
C32,2013,238
C32,2012,227
C32,2011,167
C32,2010,472
C32,2009,254
C32,2008,173
C32,2007,182
C32,2006,201
C32,2005,144
C32,2004,283
C32,2003,202
C32,2002,308
C32,2001,276
C32,2000,112
C36,2013,206
C36,2012,179
C36,2011,170
C36,2010,194
C36,2009,240
C36,2008,126
C36,2007,114
C36,2006,172
C36,2005,750
C36,2004,140
C36,2003,214
C36,2002,264
C36,2001,272
C36,2000,648
C36,1999,168
C39,2013,233
C39,2012,265
C39,2011,467
C39,2010,280
C39,2009,366
C39,2008,603
C39,2007,115
C39,2006,131
C39,2005,577
C39,2004,102
C39,2003,120
C39,2002,145
C46,2013,208
C46,2012,136
C46,2011,200
C46,2010,340
C46,2009,220
C46,2008,227
C46,2007,265
C46,2006,172
C46,2005,136
