Sample,Year,RingWidth_um
A3,2008,325
A3,2010,152
A3,2009,147
A3,2005,145
A3,2006,149
A3,2013,212
A3,2012,183
A3,2007,145
A3,2011,366
AG1,2007,153
AG1,2002,179
AG1,2006,106
AG1,2005,96
AG1,2003,124
AG1,2009,163
AG1,2004,96
AG1,2013,172
AG1,2008,194
AG1,2010,217
AG1,2011,288
AG1,2012,211
AG2,2004,232
AG2,2002,229
AG2,2001,169
AG2,2003,208
AG2,2013,210
AG2,2012,193
AG2,2010,527
AG2,2006,237
AG2,2009,429
AG2,2008,301
AG2,2011,288
AG2,2005,138
AG2,2007,347
AG3,2009,179
AG3,2006,327
AG3,2005,143
AG3,2013,270
AG3,2008,185
AG3,2010,454
AG3,2007,277
AG3,2003,221
AG3,2002,232
AG3,2004,188
AG3,2012,311
AG3,2011,434
AH1,2013,117
AH1,2006,116
AH1,2011,236
AH1,2010,253
AH1,2009,378
AH1,2012,259
AH1,2007,169
AH1,2008,80
AH2,2009,274
AH2,2010,251
AH2,2011,399
AH2,2008,234
AH2,2005,236
AH2,2012,349
AH2,2006,160
AH2,2007,187
AH2,2013,381
AM1,2013,444
AM1,2006,99
AM1,2012,303
AM1,2011,289
AM1,2007,205
AM1,2008,175
AM1,2005,85
AM1,2010,251
AM1,2009,154
AM3,2007,173
AM3,2003,240
AM3,2009,211
AM3,2004,209
AM3,2012,111
AM3,2008,193
AM3,2005,221
AM3,2010,180
AM3,2006,214
AM3,2011,133
AM3,2013,90
AN1,2005,260
AN1,2009,222
AN1,2008,121
AN1,2011,415
AN1,2007,378
AN1,2010,316
AN1,2012,300
AN1,2013,116
AN1,2004,178
AN1,2006,385
C1,2008,277
C1,2010,108
C1,2005,180
C1,2007,154
C1,2006,346
C1,2011,135
C1,2013,207
C1,2009,196
C1,2004,264
C1,2012,124
C2,2010,175
C2,2009,233
C2,2008,164
C2,2012,377
C2,2011,212
C2,2013,287
CH1,2006,184
CH1,2006,184
CH1,2010,403
CH1,2010,403
CH1,2011,1021
CH1,2011,1021
CH1,2009,299
CH1,2009,299
CH1,2007,151
CH1,2007,151
CH1,2008,221
CH1,2008,221
CH1,2012,207
CH1,2012,207
CH1,2013,261
CH1,2013,261
CH3,2008,324
CH3,2012,268
CH3,2010,311
CH3,2007,275
CH3,2011,624
CH3,2005,265
CH3,2009,213
CH3,2013,145
CH3,2006,234
CI3,2005,90
CI3,2009,303
CI3,2008,242
CI3,2006,119
CI3,2013,184
CI3,2011,644
CI3,2007,83
CI3,2012,638
CI3,2010,345
CM2,2009,101
CM2,2008,122
