# Some errors may exist on tree ID. Wayne Twine and Taryn Morris. Corresponds to trees cut at Wits Rural Facility in 2011.,
Species,Sample
Acacia nilotica,AG1
Acacia nilotica,AG2
Acacia nilotica,AG3
Acacia nilotica,AN1
Acacia nilotica,AN2
Acacia nilotica,AN3
Acacia exuvialis,AT1
NA,AT1
Acacia exuvialis,AT2
Acacia exuvialis,AF3
Albiza harveyi,AH1
Albiza harveyi,AH2
Albiza harveyi,AH3
NA,AH3
NA,C1
NA,C1
NA,C2
NA,C2
NA,C2
NA,C3
NA,C3
NA,C3
NA,C3
NA,C3
NA,C3
NA,CH1
NA,CH2
NA,CH3
Combretum imberbe,A1
NA,A1
NA,A1
Combretum imberbe,A2
Combretum imberbe,A3
Combretum molle,CM1
NA,CM1
Combretum molle,CM2
Combretum molle,CM3
Combretum zeyheri,CZ1
Combretum zeyheri,CZ2
Combretum zeyheri,CZ3
,CZ3
Dichrostachys cinerea,D1
Dichrostachys cinerea,D2
Dichrostachys cinerea,D3
Euclea natalensis,SPPA
Euclea natalensis,DM2
Euclea natalensis,DM3
Mundulea sericea,EN1
NA,EN1
Mundulea sericea,EN2
Mundulea sericea,EN3
Gymnosporia buxifolia,SP 1
Gymnosporia buxifolia,SS2
Gymnosporia buxifolia,SS3
NA,PA1
NA,PA1
Peltophorum africanum,PA3
Pterocarpus rotundifolia,PR1
Pterocarpus rotundifolia,PR2(PT2)
Pterocarpus rotundifolia,PR3
Sclerocarya birrea,AM1
Sclerocarya birrea,AM2
Sclerocarya birrea,AM3
Strychnos madagascariensis,SM2
Strychnos madagascariensis,SM2
Strychnos madagascariensis,SM3
Strychnos spinosa,B1
v,B1
Strychnos spinosa,SS2
Strychnos spinosa,SS3
Terminalia sericea,T1
Terminalia sericea,T2
Terminalia sericea,T3
Turrea nilotica,CH1
Combretum imberbe,CI2
Turrea nilotica,CI 3
Zizyphus mucronata,X1
v,X1
NA,X1
NA,NA
Zizyphus mucronata,X3
NA,X3
