"# Fields represent last year of growth (1900) and increments from relative to trees cut at Wits Rural Facility in Acornhoek, South Africa. Trees were cut in Spring 2014.",,
ID,Year,Increment
AG3,1900,270
AG3,1899,311
AG3,1898,434
AG3,1897,454
AG3,1896,179
AG3,1895,185
AG3,1894,277
AG3,1893,327
AG3,1892,143
AG3,1891,188
AG3,1890,221
AG3,1889,232
EN3,1900,72
EN3,1899,149
EN3,1898,96
EN3,1897,264
EN3,1896,351
EN3,1895,276
EN3,1894,116
EN3,1893,210
EN3,1892,179
EN3,1891,268
PR3,1900,239
PR3,1899,188
PR3,1898,370
PR3,1897,208
PR3,1896,202
PR3,1895,180
PR3,1894,200
PR3,1893,368
SM2,1900,717
SM2,1899,495
SM2,1898,762
SM2,1897,316
SM2,1896,238
SM2,1895,342
SM2,1894,368
SM2,1893,545
SM2,1892,356
SM2,1891,411
CI3,1900,184
CI3,1899,638
CI3,1898,644
CI3,1897,345
CI3,1896,303
CI3,1895,242
CI3,1894,83
CI3,1893,119
CI3,1892,90
A1C,1900,116
A1C,1899,304
A1C,1898,342
A1C,1897,175
A1C,1896,152
A1C,1895,309
A1C,1894,223
A1C,1893,324
A1C,1892,254
A1C,1891,154
A1C,1890,179
PA3,1900,169
PA3,1899,251
PA3,1898,240
PA3,1897,209
PA3,1896,267
PA3,1895,225
PA3,1894,143
PA3,1893,301
PA3,1892,174
PA3,1891,158
PA3,1890,279
PA3,1889,89
PA3,1888,248
PA3,1887,85
AH2,1900,381
AH2,1899,349
AH2,1898,399
AH2,1897,251
AH2,1896,274
AH2,1895,234
AH2,1894,187
AH2,1893,160
AH2,1892,236
PR2,1900,296
PR2,1899,276
PR2,1898,308
PR2,1897,273
PR2,1896,236
PR2,1895,208
PR2,1894,119
PR2,1893,180
PR2,1892,258
PR2,1891,231
PR2,1890,224
PR2,1889,228
PR2,1888,97
PR2,1887,191
AM3,1900,90
AM3,1899,111
AM3,1898,133
AM3,1897,180
AM3,1896,211
AM3,1895,193
AM3,1894,173
AM3,1893,214
AM3,1892,221
AM3,1891,209
AM3,1890,240
A3,1900,212
A3,1899,183
A3,1898,366
A3,1897,152
A3,1896,147
A3,1895,325
A3,1894,145
A3,1893,149
A3,1892,145
CM3,1900,95
CM3,1899,124
CM3,1898,362
CM3,1897,254
CM3,1896,177
CM3,1895,183
CM3,1894,163
CM3,1893,319
CM3,1892,327
CM3,1891,116
CH3,1900,145
CH3,1899,268
CH3,1898,624
CH3,1897,311
CH3,1896,213
CH3,1895,324
CH3,1894,275
CH3,1893,234
CH3,1892,265
AG1,1900,172
AG1,1899,211
AG1,1898,288
AG1,1897,217
AG1,1896,163
AG1,1895,194
AG1,1894,153
AG1,1893,106
AG1,1892,96
AG1,1891,96
AG1,1890,124
AG1,1889,179
CH1,1900,261
CH1,1899,207
CH1,1898,1021
CH!,1897,403
CH1,1896,299
CH1,1895,221
CH1,1894,151
CH1,1893,184
T1,1900,179
T1,1899,339
T1,1898,241
T1,1897,195
T1,1896,142
T1,1895,109
T1,1894,142
T1,1893,157
T1,1892,58
T1,1891,77
T1,1890,112
T1,1889,69
T1,1888,108
CM2,1900,213
CM2,1899,223
CM2,1898,212
CM2,1897,276
CM2,1896,101
CM2,1895,122
CM2,1894,100
CM2,1893,411
CM2,1892,302
CM2,1891,70
AN1,1900,116
AN1,1899,300
AN1,1898,415
AN1,1897,316
AN1,1896,222
AN1,1895,121
AN1,1894,378
AN1,1893,385
AN1,1892,260
AN1,1891,178
AH3B,1900,198
AH3B,1899,299
AH3B,1898,191
AH3B,1897,181
AH3B,1896,524
AH3B,1895,211
AH3B,1894,288
EN2,1900,77
EN2,1899,172
EN2,1898,158
EN2,1897,364
EN2,1896,253
EN2,1895,252
EN2,1894,366
B2,1900,160
B2,1899,313
B2,1898,296
B2,1897,337
B2,1896,467
B2,1895,443
B2,1894,113
D2,1900,255
D2,1899,277
D2,1898,490
D2,1897,466
D2,1896,191
D2,1895,195
C1,1900,207
C1,1899,124
C1,1898,135
C1,1897,108
C1,1896,196
C1,1895,277
C1,1894,154
C1,1893,346
C1,1892,180
C1,1891,264
CZ1,1900,121
CZ1,1899,252
CZ1,1898,248
CZ1,1897,549
CZ1,1896,297
CZ1,1895,163
CZ1,1894,99
EN1,1900,267
EN1,1899,266
EN1,1898,182
EN1,1897,185
EN1,1896,203
EN1,1895,204
EN1,1894,274
EN1,1893,141
EN1,1892,165
C3B,1900,195
C3B,1899,104
C3B,1898,125
C3B,1897,189
C3B,1896,167
C3B,1895,323
C3B,1894,196
C3B,1893,139
GB3,1900,132
GB3,1899,182
GB3,1898,101
GB3,1897,80
GB3,1896,119
GB3,1895,81
GB3,1894,77
GB3,1893,114
GB3,1892,91
GB3,1891,125
GB3,1890,222
GB3,1889,149
T3,1900,272
T3,1899,300
T3,1898,412
T3,1897,248
T3,1896,292
T3,1895,551
T3,1894,340
X1B,1900,233
X1B,1899,81
X1B,1898,407
X1B,1897,325
X1B,1896,130
X1B,1895,146
X1B,1894,111
X1B,1893,132
AG2,1900,210
AG2,1899,193
AG2,1898,288
AG2,1897,527
AG2,1896,429
AG2,1895,301
AG2,1894,347
AG2,1893,237
AG2,1892,138
AG2,1891,232
AG2,1890,208
AG2,1889,229
AG2,1888,169
PR1,1900,147
PR1,1899,221
PR1,1898,153
PR1,1897,372
PR1,1896,212
PR1,1895,285
PR1,1894,186
PR1,1893,257
PR1,1892,224
PR1,1891,260
PR1,1890,194
PR1,1889,170
PR1,1888,234
PR1,1887,208
CG3,1900,520
CG3,1899,334
CG3,1898,183
CG3,1897,626
CG3,1896,397
CG3,1895,359
CG3,1894,170
CG3,1893,378
CG3,1892,404
D3,1900,205
D3,1899,257
D3,1898,209
D3,1897,385
D3,1896,390
D3,1895,291
D3,1894,331
T2,1900,530
T2,1899,659
T2,1898,267
T2,1897,334
T2,1896,225
CZ2,1900,169
CZ2,1899,292
CZ2,1898,240
CZ2,1897,274
CZ2,1896,257
CZ2,1895,149
CZ2,1894,128
CZ2,1893,126
CZ2,1892,298
CZ2,1891,286
CZ2,1890,116
SM3,1900,148
SM3,1899,226
SM3,1898,415
SM3,1897,319
SM3,1896,584
SM3,1895,273
SM3,1894,98
SM3,1893,182
A1Q,1900,302
A1Q,1899,293
A1Q,1898,129
A1Q,1897,291
A1Q,1896,252
A1Q,1895,192
A1Q,1894,140
A1Q,1893,160
C2,1900,287
C2,1899,377
C2,1898,212
C2,1897,175
C2,1896,233
C2,1895,164
SP1,1900,148
SP1,1899,101
SP1,1898,185
SP1,1897,93
SP1,1896,130
SP1,1895,231
SP1,1894,169
SP1,1893,75
SP1,1892,97
SP1,1891,232
SP1,1890,90
AM1,1900,444
AM1,1899,303
AM1,1898,289
AM1,1897,251
AM1,1896,154
AM1,1895,175
AM1,1894,205
AM1,1893,99
AM1,1892,85
SS3,1900,257
SS3,1899,188
SS3,1898,156
SS3,1897,318
SS3,1896,174
SS3,1895,102
SS3,1894,210
SS3,1893,388
SS3,1892,146
AT3,1900,280
AT3,1899,536
AT3,1898,285
AT3,1897,329
AT3,1896,241
AT3,1895,355
A1B,1900,67
A1B,1899,88
A1B,1898,93
A1B,1897,230
A1B,1896,161
A1B,1895,157
A1B,1894,122
A1B,1893,224
A1B,1892,84
A1B,1891,105
A1B,1890,113
A1B,1889,143
GB2,1900,110
GB2,1899,106
GB2,1898,99
GB2,1897,148
GB2,1896,184
GB2,1895,135
GB2,1894,221
GB2,1893,61
GB2,1892,112
GB2,1891,260
AH1,1900,117
AH1,1899,259
AH1,1898,236
AH1,1897,253
