SAMPLE,YEAR,RINGW
PRET8,2011,253
PRET8,2010,128
PRET8,2009,358
PRET8,2008,113
PRET8,2007,96
PRET8,2006,143
PRET8,2005,290
PRET8,2004,33
PRET8,2003,129
PRET8,2002,233
PRET8,2001,263
PRET8,2000,198
PRET8,1999,89
PRET8,1998,414
PRET8,1997,188
PRET8,1996,111
PRET8,1995,144
PRET2,2011,495
PRET2,2010,416
PRET2,2009,623
PRET2,2008,430
PRET2,2007,636
PRET2,2006,272
PRET2,2005,208
PRET2,2004,286
PRET2,2003,208
PRET2,2002,214
PRET2,2001,172
PRET3,2011,390
PRET3,2010,134
PRET3,2009,160
PRET3,2008,526
PRET3,2007,360
PRET3,2006,355
PRET3,2005,681
PRET3,2004,355
PRET3,2003,533
PRET3,2002,344
PRET3,2001,437
PRET3,2000,94
PRET3,1999,157
PRET3,1998,168
PRET3,1997,150
PRET3,1996,107
PRET3,1995,151
PRET3,1994,448
PRET3,1993,371
PRET3,1992,316
PRET3,1991,772
PRET7,2011,208
PRET7,2010,453
PRET7,2009,255
PRET7,2008,603
PRET7,2007,370
PRET7,2006,206
PRET7,2005,532
PRET7,2004,245
PRET7,2003,353
PRET7,2002,522
PRET7,2001,161
PRET7,2000,103
PRET7,1999,141
PRET7,1998,137
PRET7,1997,115
PRET7,1996,388
PRET7,1995,260
PRET7,1994,132
PRET7,1993,383
PRET7,1992,112
PRET7,1991,170
PRET7,1990,238
PRET6,2011,476
PRET6,2010,258
PRET6,2009,348
PRET6,2008,191
PRET6,2007,178
PRET6,2006,231
PRET6,2005,527
PRET6,2004,509
PRET6,2003,471
PRET6,2002,124
PRET6,2001,80
PRET6,2000,392
PRET6,1999,136
PRET6,1998,149
PRET6,1997,200
PRET5,2011,301
PRET5,2010,402
PRET5,2009,420
PRET5,2008,90
PRET5,2007,311
PRET5,2006,219
PRET5,2005,233
PRET5,2004,139
PRET5,2003,137
PRET5,2002,182
PRET5,2001,334
PRET5,2000,172
PRET5,1999,212
PRET5,1998,300
PRET5,1997,132
PRET5,1996,7
PRET5,1995,525
PRET5,1994,587
PRET1,2011,160
PRET1,2010,388
PRET1,2009,304
PRET1,2008,225
PRET1,2007,835
PRET1,2006,498
PRET1,2005,227
PRET1,2004,172
PRET1,2003,287
PRET1,2002,121
PRET1,2001,289
PRET1,2000,314
PRET1,1999,190
PRET1,1998,227
PRET1,1997,474
PRET1,1996,270
PRET9,2011,274
PRET9,2010,189
PRET9,2009,268
PRET9,2008,345
PRET9,2007,222
PRET9,2006,94
PRET9,2005,46
PRET9,2004,166
PRET9,2003,141
PRET9,2002,113
PRET9,2001,80
PRET9,2000,188
PRET9,1999,88
PRET9,1998,627
PRET9,1997,281
PRET9,1996,47
PRET9,1995,59
PRET9,1994,107
PRET9,1993,172
PRET9,1992,133
PRET10,2011,244
PRET10,2010,111
PRET10,2009,421
PRET10,2008,215
PRET10,2007,157
PRET10,2006,102
PRET10,2005,220
PRET10,2004,218
PRET10,2003,481
PRET10,2002,492
PRET10,2001,262
PRET10,2000,205
PRET10,1999,623
PRET10,1998,133
PRET10,1997,437
PRET10,1996,147
PRET10,1995,144
PRET10,1994,119
PRET10,1993,190
PRET10,1992,412
