YEAR,TREE,GROWTH
2000,TER1,
2001,TER1,
2002,TER1,
2003,TER1,
2004,TER1,
2005,TER1,9.98
2006,TER1,2.45
2007,TER1,2.93
2008,TER1,1.42
2009,TER1,4.7
2000,TER2,3.31
2001,TER2,1.97
2002,TER2,1.06
2003,TER2,0.79
2004,TER2,4.15
2005,TER2,9.03
2006,TER2,9.55
2007,TER2,6.92
2008,TER2,1.89
2009,TER2,1.22
2000,TER3,
2001,TER3,
2002,TER3,
2003,TER3,1.05
2004,TER3,3.83
2005,TER3,14.56
2006,TER3,5.73
2007,TER3,2.19
2008,TER3,2.27
2009,TER3,5.52
2000,TER4,
2001,TER4,
2002,TER4,
2003,TER4,
2004,TER4,
2005,TER4,11.18
2006,TER4,12.06
2007,TER4,4.52
2008,TER4,2.51
2009,TER4,1.78
