YEAR,SITE,SPECIES,UID,RINGW
2010,11,TESE,s11te1,204
2009,11,TESE,s11te1,229
2008,11,TESE,s11te1,301
2007,11,TESE,s11te1,234
2006,11,TESE,s11te1,33
2005,11,TESE,s11te1,308
2004,11,TESE,s11te1,61
2003,11,TESE,s11te1,170
2002,11,TESE,s11te1,43
2010,11,TESE,s11te2,315
2009,11,TESE,s11te2,162
2008,11,TESE,s11te2,92
2007,11,TESE,s11te2,340
2006,11,TESE,s11te2,136
2005,11,TESE,s11te2,163
2010,13,TESE,s13te1,78
2009,13,TESE,s13te1,431
2008,13,TESE,s13te1,279
2007,13,TESE,s13te1,123
2006,13,TESE,s13te1,77
2005,13,TESE,s13te1,171
2010,13,TESE,s13te2,316
2009,13,TESE,s13te2,401
2008,13,TESE,s13te2,245
2007,13,TESE,s13te2,68
2006,13,TESE,s13te2,351
2005,13,TESE,s13te2,69
2004,13,TESE,s13te2,102
2010,13,TESE,s13te3,287
2009,13,TESE,s13te3,383
2008,13,TESE,s13te3,139
2007,13,TESE,s13te3,132
2006,13,TESE,s13te3,80
2005,13,TESE,s13te3,101
