Species,Lat,Long,Site,Tree_Label
Acacia nilotica,-24.54631501,31.09739796,WRF,AG1
Acacia nilotica,-24.54628701,31.09736603,WRF,AG2
Acacia nilotica,-24.54630302,31.09731901,WRF,AG3
Acacia nilotica,-24.56369698,31.11019797,WRF,AN1
Acacia nilotica,-24.56380804,31.10982204,WRF,AN2
Acacia nilotica,-24.56307999,31.10875502,WRF,AN3
Acacia exuvialis,-24.55020597,31.09846397,WRF,AT1
Acacia exuvialis,-24.55036003,31.09853698,WRF,AT2
Acacia exuvialis,-24.55039398,31.09847898,WRF,AF3
Albiza harveyi,-24.56225798,31.10901201,WRF,AH1
Albiza harveyi,-24.56218497,31.10899298,WRF,AH2
Albiza harveyi,new,still on gps will check ,WRF,AH3
,-22.91815203,31.23580498,WRF,C1
,-24.56176898,31.10959103,WRF,C2
,-24.55998799,31.10487202,WRF,C3
,-24.56571098,31.10808497,WRF,CH1
,-24.56569598,31.10832503,WRF,CH2
,-24.56555902,31.10829301,WRF,CH3
Combretum imberbe,-24.55871603,31.099217,WRF,A1
Combretum imberbe,-24.56383201,31.110131,WRF,A2
Combretum imberbe,-24.56369497,31.11016402,WRF,A3
Combretum molle,-24.56219503,31.10941904,WRF,CM1
Combretum molle,-24.56218002,31.10938199,WRF,CM2
Combretum molle,-24.56219201,31.10940303,WRF,CM3
Combretum zeyheri,-24.55997701,31.10488501,WRF,CZ1
Combretum zeyheri,-24.56002998,31.10486104,WRF,CZ2
Combretum zeyheri,-24.56016401,31.10484302,WRF,CZ3
Dichrostachys cinerea,-24.56451799,31.09810104,WRF,D1
Dichrostachys cinerea,-24.55851596,31.09921901,WRF,D2
Dichrostachys cinerea,-24.55015602,31.09836699,WRF,D3
Euclea natalensis,-24.562752,31.108521,WRF,SPPA
Euclea natalensis,-24.56279802,31.10838597,WRF,DM2
Euclea natalensis,-24.56528904,31.107889,WRF,DM3
Mundulea sericea,-24.55873196,31.09921097,WRF,EN1
Mundulea sericea,-24.54927902,31.09874703,WRF,EN2
Mundulea sericea,-24.56113396,31.10983796,WRF,EN3
Gymnosporia buxifolia,-24.56517898,31.10799101,WRF,SP 1
Gymnosporia buxifolia,-24.56527504,31.10759002,WRF,SS2
Gymnosporia buxifolia,-24.56563404,31.10770804,WRF,SS3
Peltophorum africanum,,,WRF,PA1
,,,WRF,PA1
Peltophorum africanum,-24.56274798,31.108391,WRF,PA3
Pterocarpus rotundifolia,-24.54974597,31.09861602,WRF,PR1
Pterocarpus rotundifolia,-24.54968202,31.09869104,WRF,PR2(PT2)
Pterocarpus rotundifolia,-24.54958504,31.09846498,WRF,PR3
Sclerocarya birrea,-24.55316696,31.10170702,WRF,AM1
Sclerocarya birrea,-24.55315397,31.10171598,WRF,AM2
Sclerocarya birrea,-24.55308398,31.10169997,WRF,AM3
Strychnos madagascariensis,-24.55857597,31.09931197,WRF,SM2
Strychnos madagascariensis,-24.5659,31.10736899,WRF,SM2
Strychnos madagascariensis,-24.56442302,31.09806701,WRF,SM3
Strychnos spinosa,-24.56255796,31.108923,WRF,B1
