ID	Name	Type	Lat	Long
1	Pre1	Dendro	-25.19926667	31.29561667
2	Pre10	Dendro	-25.1996	31.29533333
3	Pre2	Dendro	-25.19938333	31.29533333
4	Pre3	Dendro	-25.19951667	31.29536667
5	Pre4	Dendro	-25.19953333	31.29533333
6	Pre5	Dendro	-25.19948333	31.29528333
7	Pre6	Dendro	-25.19955	31.29528333
8	Pre7	Dendro	-25.19951667	31.2952
9	Pre8	Dendro	-25.19953333	31.29518333
10	Pre9	Dendro	-25.19951667	31.29518333
11	Sku1	Dendro	-25.01711667	31.49285
12	Sku2	Dendro	-25.01751667	31.49455
13	Sku3	Dendro	-25.0176	31.49633333
14	Sku4	Dendro	-25.01736667	31.49623333
15	Sku5	Dendro	-25.01811667	31.49915
16	Sku6	Dendro	-25.01865	31.49618333
17	Sku7	Dendro	-25.01885	31.49483333
18	Sku8	Dendro	-25.0187	31.4939
