Site,Sample
PHA,T01
PHA,T06
PHA,T02
PHA,C05
PHA,C01
PHA,C06
PHA,M01
PHA,M05
PHA,M06
LET,C11
LET,C13
LET,C18
LET,M10
LET,M11
LET,M13
MUZ,T13
MUZ,T11
MUZ,T10
MUZ,C25
MUZ,C23
MUZ,C24
BER,C36
BER,C32
BER,C29
BER,T19
BER,T21
BER,T25
PRE,T28
PRE,T31
PRE,T36
PRE,C37
PRE,C39
PRE,C42
SKU,T40
SKU,T41
SKU,T45
SKU,C46
SKU,C50
SKU,C51
WOO,T46
WOO,T48
WOO,T50
WOO,C55
WOO,C57
WOO,C58
WOO,M21
WOO,M24
WOO,M26
SIR,C67
SIR,C69
SIR,C70
SIR,M29
SIR,M33
SIR,M36
MOO,C76
MOO,C77
MOO,C79
MOO,M39
MOO,M40
MOO,M43
MOO,T55
MOO,T57
MOO,T58
SHI,T64
SHI,T65
SHI,T66
SHI,M47
SHI,M50
SHI,M54
SHI,C83
SHI,C86
SHI,C88
