Year,SAT,BDL,BYA,HOU,KFI,KRO,LET,MAH,MAL,MOO,MOP,NWA,OLI,OSA,PAF,PAP,PHA,PRE,PUN,SHA,SHI,SHM,SIR,SKZ,STO,TAL,TSH,VLA,WOO
1980,729.7,,,,774.4,516.6,,,718,659.6,,719,817.6,575,,572.4,,,,,,,,649.3,,,572.1,,
1981,767.3,,,,575,575.8,,,629.5,618.3,,703,682,632.9,,646.5,,,,,,,,604.8,,,665.3,,
1982,249.9,,,,241.5,350.5,242.9,,203,194,,276.5,342.9,431,247.5,263,,,269.1,,300,,,427.2,,,320.6,,
1983,466,,,346.5,364,515.5,362.7,,673,321.5,,530.5,360.7,537.2,189,136.5,375.6,633.9,205.1,,296.6,,,490.4,566.2,,557.5,,
1984,739.5,,,380.4,659.3,930,504.7,,793.5,427.8,,771.8,515.9,765.2,364.6,338.5,589.1,734.4,416.4,,532.4,,,727.2,892.1,,652.3,514.2,453
1985,577.4,,,678.8,533.4,569.3,427.6,,678,609.3,,633.5,686.5,689.4,528.4,636.8,639.2,749,834.3,,520,,,607.4,747.3,,748,768.3,621.3
1986,234.4,,,213.5,283.9,490.8,279.6,,595,309.9,,302.7,284.5,609.3,301.3,314.6,288.7,647.8,487.3,,397.5,,,445.2,561.4,,398.4,309.9,269.2
1987,678.2,,,468.8,711.3,596.7,489.7,389.8,578,462.1,,584.5,528,547.3,357.5,447,28,811.8,401.7,538.7,304,,,631.5,702.6,,693.7,450.6,475.7
1988,295.1,,,332,449.7,674.1,380.8,340.9,501.8,467.9,,344.1,265.5,388.4,483.5,347.8,302,643.4,620.2,454.7,395.6,,,559.8,547.1,,575.4,469.5,381.5
1989,551.6,,,445.4,472.2,852.6,363.5,244.7,706.4,370.1,,477,190,648.4,246,382.2,546.8,728.9,463.7,378.3,285.6,,,695.3,807.6,,497.8,461.5,315.7
1990,754.8,,,682.2,614.2,382.6,580.5,308.4,439.6,284.4,,655.4,640,474,308.9,544.1,542.4,597.6,334.3,416.3,488.9,,,463.2,610.6,,602.1,371.1,411.1
1991,352.9,,,190.5,365,497.9,347.7,283.5,507.8,284,,314.1,316.3,232.7,409.4,269.5,319.4,525.5,459.4,385.7,221.2,,,315,496,,354.5,330.7,245
1992,405,378.4,451.5,376.8,380.1,529.9,236.4,346.4,486.7,331.8,342.4,390.7,362.1,455.2,345.1,355.4,388.1,652,316.2,424,459.4,287.8,521.7,434.5,507.7,334.6,430.2,549.2,483.9
1993,472,377.5,556.2,318.4,498.9,544.2,388,462.6,452.3,396.9,328.6,400.8,386.6,614,430.2,426.9,528.6,532.1,394.2,422.7,355.4,294.5,453.8,470.9,451.2,506.8,386.9,463.7,521
1994,383.6,321,340.8,276.2,359.9,392.9,292.1,227.3,274.8,291,298.7,431.4,336.6,455,278.6,302.2,315.2,281.4,413.1,269.8,327.2,242,390.2,321.9,338.6,380.7,528.6,360.3,247.3
1995,561.2,601.7,592.4,465.5,537.3,691.7,365.6,318.8,506.3,314.6,350.2,622.1,379.8,554.7,390.9,321.5,545.8,857.8,491.5,529.4,476.7,415.9,470.5,886.7,625.1,860.6,612.1,469,422.4
1996,622.7,817.8,438.8,569.6,671.5,515.3,690.7,531.6,697.5,830.7,752.9,648.4,607.8,528.4,640.6,596,755.2,1009.2,758.1,770.7,854.5,508.9,743.5,701.7,750.5,769.3,673.4,726.1,710.3
1997,591,553.7,716,359.6,530.4,713.3,310.7,356.5,492,261,259.3,454.2,400.1,685.7,344.3,280.7,374,878.9,439.1,479.4,343.9,329.1,426.1,689.8,681.1,568.8,601.8,278.4,323.4
1998,558.5,767.9,701.7,468.3,610,832.5,567.1,330.5,684.3,449.3,428.3,473.8,536.6,714.5,399.2,372.4,505.4,636.5,578.4,380.1,430.3,490.5,406.9,641.1,722.6,553.5,727.9,421.3,459.4
1999,770.2,880.7,817.8,655.8,625.6,773.6,504.7,755.9,812.7,736.8,654.8,817.4,705.6,698.4,631.3,847.4,638.3,874.4,922.1,775.4,913.1,770,1026.5,980.2,882.4,657.9,767,899.5,978.6
2000,885.5,1494,1263.7,756.8,1111.3,1190.4,952.9,1081.8,1353,1305.8,1265.6,824.5,774,1044.5,1007.6,891.8,1067.9,1620.8,1132.9,1229.9,1149.9,1068.6,1152.5,1909.8,1550.4,1125.9,1099.6,1044.4,984
2001,591.2,610.9,663.8,502.3,774,738.3,663.1,627,534.3,583.6,371.6,662.5,632.9,853.8,631.6,634.7,711.5,608.8,886.5,726.8,505.5,623.5,672.6,719.6,686.8,815,720.5,610.8,587.9
2002,116.5,291.6,486.6,163,168.4,308.6,135.3,258.4,393.4,265.4,,246.4,291.4,436.3,217.5,167.5,163.3,460.9,397.2,295.6,164.1,225.7,182.1,318.9,379.2,270.2,203.7,218.9,
2003,293.1,307.1,360.7,357.2,293.7,371.5,374.5,302.7,291.5,443.3,,300.3,460.6,472.4,283.1,344.7,306.8,385.6,400.1,386.9,525.1,333.8,473,293,309.3,248.5,230.5,528.9,317.3
2004,849.1,806.4,640.8,880.2,786,716.9,816.9,755,794.5,733.1,,920,1031.5,1102.1,768.8,662.6,715.7,912,600.6,512.6,358.2,623.7,301.7,996,789.8,769.8,819.5,507.1,522.7
2005,252.1,469.4,452.3,257.1,299.5,488.1,240.9,311.9,306.2,212,,323.6,394.6,407.9,135.5,476.7,178.6,438.4,384,364.9,259.7,127.3,342.4,560.7,611.8,367.2,405.1,287.3,942.8
2006,528.3,839,677.7,515,734.2,703.6,583.5,383,866.2,647.5,,554.9,574.6,690.9,,309,547.4,959.4,652,633.8,319.4,,,807.3,785.6,485.3,535.7,640.7,617.2
2007,546.5,466,395.7,458.8,465.2,484,478.9,499.5,460.7,434.5,,489.3,498.7,517.5,,517.5,518.9,416.8,685.3,610.4,609.2,,,393.9,587.4,454.1,569.6,693,444.2
2008,316.1,647.7,308.4,333.3,421.4,405.33,292.6,244.5,568,355.9,,177.1,522.9,217.5,,217.5,216.6,,358.1,372,335.2,,,581.9,610,367.5,188.4,301.4,390.4
