STATION,YEAR,MONTH,SumOfMM
PRE,2001,1,32.1
PRE,2001,2,141.2
PRE,2001,3,66
PRE,2001,4,105.1
PRE,2001,5,28
PRE,2001,6,13.5
PRE,2001,7,7.1
PRE,2001,10,77.2
PRE,2001,11,97.2
PRE,2001,12,41.4
PRE,2002,1,87.5
PRE,2002,2,51.1
PRE,2002,3,82.8
PRE,2002,4,118.2
PRE,2002,5,2.3
PRE,2002,6,6.5
PRE,2002,7,6.7
PRE,2002,8,8.7
PRE,2002,9,10.8
PRE,2002,10,26.5
PRE,2002,11,34.6
PRE,2002,12,25.2
PRE,2003,1,17.7
PRE,2003,2,39.3
PRE,2003,3,42.7
PRE,2003,4,89.9
PRE,2003,5,3
PRE,2003,6,26.6
PRE,2003,10,13.5
PRE,2003,11,73.4
PRE,2003,12,57.5
PRE,2004,1,203
PRE,2004,2,165.2
PRE,2004,3,151.8
PRE,2004,4,32.8
PRE,2004,5,0
PRE,2004,6,3
PRE,2004,7,16
PRE,2004,9,16.5
PRE,2004,10,47.8
PRE,2004,11,148.8
PRE,2004,12,127.1
PRE,2005,1,172.8
PRE,2005,2,30.7
PRE,2005,3,74
PRE,2005,4,23.3
PRE,2005,5,8
PRE,2005,8,2.3
PRE,2005,10,10.5
PRE,2005,11,70.3
PRE,2005,12,46.5
PRE,2006,10,22.3
PRE,2006,11,167
PRE,2007,2,31.9
PRE,2007,3,38.7
PRE,2007,4,3.1
PRE,2007,5,3.1
PRE,2007,6,23.4
PRE,2007,7,1.7
PRE,2007,8,0.7
PRE,2007,9,24.5
PRE,2007,10,26.1
PRE,2007,11,124.3
PRE,2008,2,12.4
PRE,2008,3,2.7
PRE,2008,4,10
PRE,2008,5,10.7
PRE,2008,6,5.8
PRE,2008,7,2.7
PRE,2008,8,4.5
PRE,2008,9,7.1
PRE,2008,10,36.9
PRE,2009,1,245
PRE,2009,2,141.5
PRE,2009,3,99.6
PRE,2009,4,15
PRE,2009,5,90.6
PRE,2009,7,9
PRE,2009,8,33
PRE,2009,9,2.5
PRE,2009,10,48.5
PRE,2009,11,232
PRE,2009,12,129
PRE,2010,1,82
PRE,2010,2,119.4
PRE,2010,3,89.9
PRE,2010,4,154
PRE,2010,5,19
PRE,2010,6,4.5
PRE,2010,7,7
PRE,2010,10,32.4
PRE,2010,11,177.2
PRE,2010,12,193
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
