"","Station","Year","AnnualPrecip","Station_Long"
"1","BDL",1982,NA,"BergEnDal"
"2","BDL",1980,NA,"BergEnDal"
"3","BDL",1985,NA,"BergEnDal"
"4","BDL",1986,NA,"BergEnDal"
"5","BDL",1983,NA,"BergEnDal"
"6","BDL",1984,NA,"BergEnDal"
"7","BDL",1989,NA,"BergEnDal"
"8","BDL",1990,NA,"BergEnDal"
"9","BDL",1987,NA,"BergEnDal"
"10","BDL",1992,378.4,"BergEnDal"
"11","BDL",1993,377.5,"BergEnDal"
"12","BDL",1981,NA,"BergEnDal"
"13","BDL",1995,601.7,"BergEnDal"
"14","BDL",1996,817.8,"BergEnDal"
"15","BDL",1997,553.7,"BergEnDal"
"16","BDL",1998,767.9,"BergEnDal"
"17","BDL",1999,880.7,"BergEnDal"
"18","BDL",2000,1494,"BergEnDal"
"19","BDL",2001,610.9,"BergEnDal"
"20","BDL",2002,291.6,"BergEnDal"
"21","BDL",2003,307.1,"BergEnDal"
"22","BDL",2004,806.4,"BergEnDal"
"23","BDL",2005,469.4,"BergEnDal"
"24","BDL",2006,839,"BergEnDal"
"25","BDL",2007,466,"BergEnDal"
"26","BDL",2008,647.7,"BergEnDal"
"27","BDL",1994,321,"BergEnDal"
"28","BDL",1991,NA,"BergEnDal"
"29","BDL",1988,NA,"BergEnDal"
"30","BYA",1983,NA,"Byamiti"
"31","BYA",1980,NA,"Byamiti"
"32","BYA",1981,NA,"Byamiti"
"33","BYA",1982,NA,"Byamiti"
"34","BYA",1987,NA,"Byamiti"
"35","BYA",1984,NA,"Byamiti"
"36","BYA",1985,NA,"Byamiti"
"37","BYA",1990,NA,"Byamiti"
"38","BYA",1991,NA,"Byamiti"
"39","BYA",1988,NA,"Byamiti"
"40","BYA",1993,556.2,"Byamiti"
"41","BYA",1994,340.8,"Byamiti"
"42","BYA",1995,592.4,"Byamiti"
"43","BYA",1996,438.8,"Byamiti"
"44","BYA",1997,716,"Byamiti"
"45","BYA",1998,701.7,"Byamiti"
"46","BYA",1986,NA,"Byamiti"
"47","BYA",2000,1263.7,"Byamiti"
"48","BYA",2001,663.8,"Byamiti"
"49","BYA",1989,NA,"Byamiti"
"50","BYA",2003,360.7,"Byamiti"
"51","BYA",2004,640.8,"Byamiti"
"52","BYA",1992,451.5,"Byamiti"
"53","BYA",2006,677.7,"Byamiti"
"54","BYA",2007,395.7,"Byamiti"
"55","BYA",2008,308.4,"Byamiti"
"56","BYA",1999,817.8,"Byamiti"
"57","BYA",2005,452.3,"Byamiti"
"58","BYA",2002,486.6,"Byamiti"
"59","HOU",1981,NA,"Houtboschrand"
"60","HOU",1980,NA,"Houtboschrand"
"61","HOU",1985,678.8,"Houtboschrand"
"62","HOU",1982,NA,"Houtboschrand"
"63","HOU",1983,346.5,"Houtboschrand"
"64","HOU",1988,332,"Houtboschrand"
"65","HOU",1989,445.4,"Houtboschrand"
"66","HOU",1986,213.5,"Houtboschrand"
"67","HOU",1991,190.5,"Houtboschrand"
"68","HOU",1992,376.8,"Houtboschrand"
"69","HOU",1993,318.4,"Houtboschrand"
"70","HOU",1994,276.2,"Houtboschrand"
"71","HOU",1995,465.5,"Houtboschrand"
"72","HOU",1996,569.6,"Houtboschrand"
"73","HOU",1984,380.4,"Houtboschrand"
"74","HOU",1998,468.3,"Houtboschrand"
"75","HOU",1999,655.8,"Houtboschrand"
"76","HOU",1987,468.8,"Houtboschrand"
"77","HOU",2001,502.3,"Houtboschrand"
"78","HOU",2002,163,"Houtboschrand"
"79","HOU",1990,682.2,"Houtboschrand"
"80","HOU",2004,880.2,"Houtboschrand"
"81","HOU",2005,257.1,"Houtboschrand"
"82","HOU",2006,515,"Houtboschrand"
"83","HOU",2007,458.8,"Houtboschrand"
"84","HOU",2008,333.3,"Houtboschrand"
"85","HOU",2000,756.8,"Houtboschrand"
"86","HOU",1997,359.6,"Houtboschrand"
"87","HOU",2003,357.2,"Houtboschrand"
"88","KFI",1982,241.5,"Kingfisherspruit"
"89","KFI",1980,774.4,"Kingfisherspruit"
"90","KFI",1985,533.4,"Kingfisherspruit"
"91","KFI",1986,283.9,"Kingfisherspruit"
"92","KFI",1983,364,"Kingfisherspruit"
"93","KFI",1988,449.7,"Kingfisherspruit"
"94","KFI",1989,472.2,"Kingfisherspruit"
"95","KFI",1990,614.2,"Kingfisherspruit"
"96","KFI",1991,365,"Kingfisherspruit"
"97","KFI",1992,380.1,"Kingfisherspruit"
