"Year","Month","Month_number","Sum_Rainfall"
1992,"Jan",1,56.0
1992,"Feb",2,55.0
1992,"Mar",3,54.0
1992,"Apr",4,25.0
1992,"May",5,10.0
1992,"Jun",6,1.0
1992,"Jul",7,0.0
1992,"Aug",8,14.0
1992,"Sep",9,1.0
1992,"Oct",10,4.0
1992,"Nov",11,88.0
1992,"Dec",12,327.0
1993,"Jan",1,105.0
1993,"Feb",2,118.0
1993,"Mar",3,149.0
1993,"Apr",4,16.0
1993,"May",5,10.0
1993,"Jun",6,4.0
1993,"Jul",7,2.0
1993,"Aug",8,4.0
1993,"Sep",9,0.0
1993,"Oct",10,27.0
1993,"Nov",11,61.0
1993,"Dec",12,193.0
1994,"Jan",1,40.0
1994,"Feb",2,70.0
1994,"Mar",3,58.0
1994,"Apr",4,35.0
1994,"May",5,1.0
1994,"Jun",6,0.0
1994,"Jul",7,0.0
1994,"Aug",8,6.0
1994,"Sep",9,5.0
1994,"Oct",10,65.0
1994,"Nov",11,20.0
1994,"Dec",12,90.0
1995,"Jan",1,140.0
1995,"Feb",2,62.0
1995,"Mar",3,35.0
1995,"Apr",4,70.0
1995,"May",5,9.0
1995,"Jun",6,0.0
1995,"Jul",7,0.0
1995,"Aug",8,26.0
1995,"Sep",9,1.0
1995,"Oct",10,56.0
1995,"Nov",11,62.0
1995,"Dec",12,226.0
1996,"Jan",1,211.0
1996,"Feb",2,364.0
1996,"Mar",3,107.0
1996,"Apr",4,45.0
1996,"May",5,81.0
1996,"Jun",6,6.0
1996,"Jul",7,19.0
1996,"Aug",8,30.0
1996,"Sep",9,0.0
1996,"Oct",10,39.0
1996,"Nov",11,58.0
1996,"Dec",12,91.0
1997,"Jan",1,139.0
1997,"Feb",2,94.0
1997,"Mar",3,221.0
1997,"Apr",4,110.0
1997,"May",5,10.0
1997,"Jun",6,0.0
1997,"Jul",7,0.0
1997,"Aug",8,9.0
1997,"Sep",9,36.0
1997,"Oct",10,60.0
1997,"Nov",11,92.0
1997,"Dec",12,44.0
1998,"Jan",1,138.0
1998,"Feb",2,6.0
1998,"Mar",3,97.0
1998,"Apr",4,10.0
1998,"May",5,0.0
1998,"Jun",6,0.0
1998,"Jul",7,7.0
1998,"Aug",8,0.0
1998,"Sep",9,13.0
