MONTH,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
JAN,56,105,40.5,140,211,139.5,138.5,107,148,80,88,31.5,213.5,76,130,133.5,84,226,89
FEB,55.5,118,70,62.5,364,94,6,144,416,124,123,26.5,133.5,64,166,104,35,156,65
MAR,54,149.5,58.5,35,107,221.5,97,62.5,233,42,0,48.5,159,33,190,46,40,103,70
APR,25.5,16.5,35,70,45,110.5,10,47.5,52,98,42,10,147,23,17,73,59,31,252
MAY,10,10,1.5,9.5,81.5,10.5,0,14,15,6,0,9,15.5,0,5.5,0,4,30,8
JUN,1,4,0,0,6.5,0,0,0,0,2,1,15,21,0,4,0,3,12,8
JUL,0,2.5,0,0,19.5,0,0,3.5,0,6,0,0,21,3,0,0,0,0,
AUG,14,4,6,26.5,30.5,9,0,17.5,0,0,0,0,15,0,3,0,0,0,
SEP,1,0,5.5,1,0,36,13,8.5,5.5,0,16,14.5,2,0,9,12,0,5,
OCT,4,27,65.5,56.5,39,60.5,42.5,69,13.5,30,36,16,42.4,13,14,48.5,76,14.5,
NOV,88,61.5,20.5,62.5,58,92.5,162,128.5,37.5,270,34,74.5,65,85,113.5,110,134,155,
DEC,327.5,193.5,90,226,91,44.5,258.5,64,76.5,30,95,24,96.1,68,37,174.5,219,83,
Median,19.75,21.75,27.75,45.75,51.5,52.5,11.5,55,26.25,30,25,15.5,53.7,18,15.5,47.25,37.5,30.5,67.5
Mean,53.04166667,57.625,32.75,57.45833333,87.75,68.20833333,60.625,55.5,83.08333333,57.33333333,36.25,22.45833333,77.58333333,30.41666667,57.41666667,58.45833333,54.5,67.95833333,82
