"STATION","YEAR","MONTH","SumOfMM"
"MOO",2006.00,7.00,0.00
"MOO",2006.00,8.00,0.00
"MOO",2006.00,9.00,0.00
"MOO",2006.00,10.00,0.00
"MOO",2006.00,11.00,23.10
"MOO",2006.00,12.00,45.30
"MOO",2007.00,1.00,65.00
"MOO",2007.00,2.00,32.20
"MOO",2007.00,3.00,71.70
"MOO",2007.00,4.00,7.00
"MOO",2007.00,5.00,0.00
"MOO",2007.00,6.00,0.00
"MOO",2007.00,7.00,15.50
"MOO",2007.00,8.00,1.80
"MOO",2007.00,9.00,12.50
"MOO",2007.00,10.00,21.70
"MOO",2007.00,11.00,78.30
"MOO",2007.00,12.00,128.80
"MOO",2008.00,1.00,82.40
"MOO",2008.00,2.00,46.40
"MOO",2008.00,3.00,7.40
"MOO",2008.00,4.00,19.00
"MOO",2008.00,5.00,24.00
"MOO",2008.00,6.00,0.00
"MOO",2008.00,7.00,0.40
"MOO",2008.00,8.00,1.50
"MOO",2008.00,9.00,0.00
"MOO",2008.00,11.00,36.50
"MOO",2008.00,12.00,138.30
"MOO",2009.00,1.00,31.20
"MOO",2009.00,2.00,24.30
"MOO",2009.00,3.00,21.80
"MOO",2009.00,5.00,4.50
"MOO",2009.00,6.00,2.50
"MOO",2009.00,7.00,1.50
"MOO",2009.00,9.00,0.80
"MOO",2009.00,10.00,15.00
"MOO",2009.00,11.00,159.20
"MOO",2009.00,12.00,139.00
"MOO",2010.00,1.00,73.80
"MOO",2010.00,2.00,38.10
"MOO",2010.00,3.00,78.70
"MOO",2010.00,4.00,79.40
"MOO",2010.00,5.00,4.50
"MOO",2010.00,6.00,0.00
"MOO",2010.00,10.00,2.00
"MOO",2010.00,11.00,36.10
"MOO",2010.00,12.00,189.70
"PRE",2006.00,10.00,22.30
"PRE",2006.00,11.00,167.00
"PRE",2007.00,2.00,31.90
"PRE",2007.00,3.00,38.70
"PRE",2007.00,4.00,3.10
"PRE",2007.00,5.00,3.10
"PRE",2007.00,6.00,23.40
"PRE",2007.00,7.00,1.70
"PRE",2007.00,8.00,0.70
"PRE",2007.00,9.00,24.50
"PRE",2007.00,10.00,26.10
"PRE",2007.00,11.00,124.30
"PRE",2008.00,2.00,12.40
"PRE",2008.00,3.00,2.70
"PRE",2008.00,4.00,10.00
"PRE",2008.00,5.00,10.70
"PRE",2008.00,6.00,5.80
"PRE",2008.00,7.00,2.70
"PRE",2008.00,8.00,4.50
"PRE",2008.00,9.00,7.10
"PRE",2008.00,10.00,36.90
"PRE",2009.00,1.00,245.00
"PRE",2009.00,2.00,141.50
"PRE",2009.00,3.00,99.60
"PRE",2009.00,4.00,15.00
"PRE",2009.00,5.00,90.60
"PRE",2009.00,7.00,9.00
"PRE",2009.00,8.00,33.00
"PRE",2009.00,9.00,2.50
"PRE",2009.00,10.00,48.50
"PRE",2009.00,11.00,232.00
"PRE",2009.00,12.00,129.00
"PRE",2010.00,1.00,82.00
"PRE",2010.00,2.00,119.40
"PRE",2010.00,3.00,89.90
"PRE",2010.00,4.00,154.00
"PRE",2010.00,5.00,19.00
"PRE",2010.00,6.00,4.50
"PRE",2010.00,7.00,7.00
"PRE",2010.00,10.00,32.40
"PRE",2010.00,11.00,177.20
"PRE",2010.00,12.00,193.00
"SAT",2006.00,7.00,0.10
"SAT",2006.00,8.00,2.30
"SAT",2006.00,9.00,0.00
"SAT",2006.00,10.00,20.00
"SAT",2006.00,11.00,0.60
"SAT",2006.00,12.00,103.00
"SAT",2007.00,1.00,14.00
"SAT",2007.00,2.00,222.10
"SAT",2007.00,3.00,3.60
"SAT",2007.00,4.00,73.40
"SAT",2007.00,5.00,0.00
"SAT",2007.00,6.00,3.10
"SAT",2007.00,7.00,27.80
"SAT",2007.00,8.00,0.50
"SAT",2007.00,9.00,16.60
"SAT",2007.00,10.00,8.80
"SAT",2007.00,11.00,12.80
"SAT",2007.00,12.00,163.80
"SAT",2008.00,1.00,128.20
"SAT",2008.00,2.00,4.90
"SAT",2008.00,3.00,11.80
"SAT",2008.00,4.00,14.10
"SAT",2008.00,5.00,0.80
"SAT",2008.00,6.00,7.20
"SAT",2008.00,7.00,2.10
"SAT",2008.00,8.00,4.90
"SAT",2008.00,9.00,1.00
"SAT",2008.00,10.00,4.80
"SAT",2008.00,11.00,35.20
"SAT",2008.00,12.00,101.10
"SAT",2009.00,1.00,160.10
"SAT",2009.00,2.00,112.30
"SAT",2009.00,3.00,30.90
"SAT",2009.00,4.00,4.50
"SAT",2009.00,5.00,20.50
"SAT",2009.00,6.00,4.00
"SAT",2009.00,10.00,4.00
"SAT",2009.00,11.00,206.50
"SAT",2009.00,12.00,114.00
"SAT",2010.00,1.00,55.00
"SAT",2010.00,2.00,31.00
"SAT",2010.00,3.00,57.00
"SAT",2010.00,4.00,160.00
"SAT",2010.00,5.00,32.00
"SAT",2010.00,6.00,2.00
"SAT",2010.00,7.00,10.00
"SAT",2010.00,8.00,1.20
"SAT",2010.00,11.00,125.50
"SAT",2010.00,12.00,158.20
